Day,Weather,Customers_Forecast,Meals_Prepared,Festival,Event_Type,Staff_Count,Avg_Rating,Special_Event,Surplus_Meals
Thursday,Sunny,598,674,No,Regular,30,4.53,0,36.3
Monday,Rainy,192,230,No,Corporate,15,3.77,0,31.4
Tuesday,Sunny,617,695,No,Regular,29,4.32,0,65.0
Wednesday,Sunny,278,380,No,Buffet,19,4.37,1,130.8
Saturday,Sunny,672,793,No,Buffet,31,4.81,0,133.7
Sunday,Cloudy,112,151,No,Regular,12,3.88,0,25.8
Sunday,Cloudy,241,284,No,Regular,17,3.6,0,37.5
Sunday,Sunny,413,493,No,Corporate,23,4.14,1,50.8
Sunday,Sunny,390,462,No,Corporate,18,4.04,0,41.8
Sunday,Sunny,170,211,No,Regular,14,4.03,0,27.1
Monday,Cloudy,72,100,No,Regular,7,4.26,1,15.1
Monday,Sunny,551,613,No,Regular,23,2.94,0,47.0
Wednesday,Rainy,208,270,No,Regular,16,3.65,0,71.4
Thursday,Cloudy,502,589,No,Regular,26,4.17,0,77.7
Monday,Sunny,166,202,No,Regular,12,4.09,0,27.3
Saturday,Cloudy,337,438,No,Buffet,22,4.96,1,126.0
Friday,Sunny,83,107,No,Corporate,5,4.12,0,8.1
Thursday,Sunny,450,579,No,Buffet,27,3.55,0,146.6
Tuesday,Sunny,439,548,Eid,Buffet,23,3.83,1,161.9
Tuesday,Sunny,561,774,No,Banquet,34,4.54,0,224.4
Tuesday,Cloudy,700,868,No,Banquet,33,4.01,0,201.1
Saturday,Stormy,547,688,No,Regular,30,3.27,0,235.1
Friday,Sunny,222,277,No,Regular,13,4.4,0,47.8
Saturday,Sunny,374,418,No,Regular,18,4.6,0,34.0
Wednesday,Cloudy,99,130,New Year,Corporate,11,4.08,0,29.3
Wednesday,Sunny,445,496,No,Regular,20,3.89,1,68.4
Wednesday,Sunny,295,346,No,Regular,14,4.48,0,32.8
Saturday,Stormy,239,354,Diwali,Buffet,14,3.28,1,239.0
Saturday,Rainy,835,1146,Christmas,Buffet,46,4.44,0,445.3
Tuesday,Stormy,407,487,No,Buffet,19,4.14,1,266.8
Sunday,Sunny,106,133,No,Corporate,11,4.49,0,17.3
Monday,Sunny,145,194,No,Buffet,8,3.64,0,64.2
Sunday,Sunny,256,313,No,Corporate,16,4.1,0,32.3
Monday,Stormy,612,734,No,Regular,31,4.53,0,256.6
Tuesday,Sunny,110,142,Diwali,Corporate,9,4.35,1,34.4
Saturday,Sunny,433,544,No,Buffet,21,3.07,1,180.2
Tuesday,Sunny,296,354,No,Regular,18,4.48,0,26.4
Wednesday,Rainy,593,816,No,Banquet,32,4.57,0,345.4
Thursday,Rainy,579,751,No,Banquet,29,4.3,0,301.4
Tuesday,Cloudy,315,381,No,Corporate,17,4.15,0,39.8
Friday,Sunny,905,1091,No,Banquet,43,4.54,1,299.7
Saturday,Cloudy,99,128,No,Regular,9,4.17,0,17.8
Sunday,Sunny,355,418,Christmas,Regular,21,3.37,0,73.5
Wednesday,Sunny,103,132,No,Regular,11,3.81,1,20.5
Thursday,Sunny,216,250,No,Corporate,13,4.77,0,8.0
Tuesday,Cloudy,198,254,Diwali,Corporate,13,4.02,0,51.6
Tuesday,Sunny,810,985,No,Banquet,42,4.22,0,247.7
Tuesday,Stormy,411,471,No,Corporate,20,3.42,0,134.1
Sunday,Sunny,298,387,No,Buffet,18,4.35,0,92.7
Sunday,Sunny,530,662,No,Regular,28,4.37,0,97.0
Saturday,Cloudy,664,755,No,Regular,29,5.0,0,88.6
Thursday,Cloudy,210,290,No,Buffet,15,4.46,0,84.9
Thursday,Sunny,354,404,No,Corporate,20,4.53,0,29.2
Thursday,Cloudy,350,409,No,Regular,18,3.36,1,73.3
Thursday,Sunny,834,1018,No,Banquet,38,3.89,0,257.8
Thursday,Sunny,334,444,No,Buffet,20,5.0,0,119.3
Monday,Cloudy,459,509,No,Regular,21,4.5,0,40.7
Monday,Cloudy,356,407,No,Corporate,18,4.32,1,60.6
Sunday,Sunny,368,454,No,Buffet,23,4.89,0,97.5
Thursday,Sunny,312,438,No,Buffet,18,3.77,0,118.0
Sunday,Cloudy,684,863,No,Regular,32,4.28,0,163.6
Tuesday,Sunny,585,752,Eid,Regular,33,4.33,0,125.6
Thursday,Rainy,217,286,Diwali,Regular,17,4.07,0,79.0
Tuesday,Cloudy,408,499,No,Buffet,20,3.52,0,103.8
Tuesday,Rainy,134,180,No,Corporate,9,4.75,1,51.3
Monday,Sunny,439,569,No,Banquet,26,4.16,0,120.1
Monday,Rainy,512,638,Eid,Corporate,27,4.31,0,199.7
Sunday,Sunny,574,722,No,Regular,30,3.83,0,110.1
Wednesday,Sunny,487,591,No,Banquet,27,3.82,0,139.1
Friday,Sunny,628,777,Christmas,Regular,33,3.98,0,150.2
Thursday,Sunny,387,460,No,Regular,20,4.02,0,42.1
Wednesday,Rainy,287,341,No,Corporate,14,4.59,0,52.9
Thursday,Cloudy,106,164,No,Banquet,8,4.28,0,78.9
Tuesday,Cloudy,181,258,No,Banquet,12,3.71,0,71.3
Sunday,Cloudy,412,459,No,Corporate,21,3.49,0,29.2
Saturday,Cloudy,139,195,No,Regular,10,4.51,0,35.9
Saturday,Cloudy,89,119,No,Regular,6,4.56,0,28.5
Thursday,Rainy,256,291,No,Regular,17,3.99,0,36.3
Tuesday,Cloudy,466,646,New Year,Buffet,25,3.86,0,240.3
Sunday,Cloudy,712,912,No,Buffet,34,4.14,0,245.1
Wednesday,Sunny,626,708,No,Regular,32,4.14,1,80.7
Monday,Stormy,534,686,No,Buffet,29,4.24,0,386.1
Wednesday,Sunny,757,966,No,Buffet,40,4.57,0,215.6
Saturday,Sunny,338,473,No,Buffet,23,4.54,0,140.6
Friday,Rainy,542,660,New Year,Regular,25,4.48,0,199.6
Saturday,Sunny,83,108,No,Regular,5,3.69,0,33.8
Saturday,Sunny,210,272,No,Buffet,13,4.34,0,76.9
Tuesday,Sunny,527,691,No,Buffet,26,4.26,1,214.9
Sunday,Sunny,301,379,No,Regular,16,3.58,0,68.1
Thursday,Stormy,393,481,No,Regular,21,3.96,0,159.5
Friday,Rainy,950,1313,No,Banquet,48,4.33,0,432.1
Monday,Sunny,463,549,No,Corporate,21,3.53,0,38.6
Sunday,Stormy,327,418,No,Regular,17,3.87,0,166.4
Wednesday,Cloudy,556,652,No,Buffet,25,4.16,1,157.8
Monday,Rainy,722,993,Christmas,Buffet,40,3.94,0,397.1
Thursday,Sunny,209,244,New Year,Regular,11,4.57,0,38.6
Monday,Cloudy,388,484,Diwali,Regular,22,4.43,0,107.1
Tuesday,Sunny,688,926,No,Banquet,37,3.57,0,248.4
Friday,Sunny,651,799,No,Buffet,34,3.76,1,217.0
Wednesday,Cloudy,348,444,No,Regular,18,4.6,0,87.2
Sunday,Sunny,346,403,No,Corporate,16,4.36,1,59.3
Wednesday,Cloudy,479,611,Diwali,Buffet,28,2.91,0,215.7
Saturday,Cloudy,513,686,No,Buffet,31,4.72,0,177.6
Thursday,Sunny,273,340,No,Regular,16,4.13,0,45.1
Friday,Sunny,693,761,No,Regular,29,4.1,1,87.6
Friday,Cloudy,635,745,No,Regular,31,3.75,0,73.0
Thursday,Rainy,613,821,Eid,Banquet,34,4.65,0,334.2
Sunday,Sunny,261,371,No,Buffet,17,4.34,0,125.6
Wednesday,Stormy,327,392,No,Corporate,17,4.06,0,123.0
Tuesday,Rainy,184,247,No,Regular,10,2.97,0,72.5
Friday,Cloudy,175,212,No,Corporate,11,3.92,1,30.9
Saturday,Sunny,295,413,No,Buffet,18,3.66,0,125.8
Monday,Cloudy,189,241,No,Buffet,13,3.96,0,54.1
Thursday,Rainy,523,634,No,Regular,26,3.75,0,180.9
Sunday,Sunny,529,764,Christmas,Buffet,34,4.46,0,253.4
Saturday,Stormy,591,693,No,Regular,31,4.77,0,230.4
Sunday,Rainy,765,910,No,Regular,39,4.09,0,182.4
Thursday,Cloudy,200,258,No,Corporate,16,3.63,0,59.8
Friday,Cloudy,217,277,No,Regular,16,3.97,1,56.1
Wednesday,Cloudy,149,203,No,Regular,9,3.93,0,23.6
Sunday,Rainy,130,196,Diwali,Banquet,14,4.78,0,96.3
Wednesday,Rainy,83,116,No,Regular,7,4.14,0,40.2
Saturday,Sunny,598,760,No,Buffet,30,4.73,1,205.8
Wednesday,Sunny,416,470,No,Corporate,21,3.53,1,54.7
Thursday,Sunny,212,248,Diwali,Corporate,13,4.12,0,25.4
Friday,Rainy,458,549,No,Regular,25,3.68,0,115.2
Thursday,Sunny,223,304,No,Buffet,17,4.07,0,82.6
Sunday,Rainy,687,814,No,Buffet,33,4.33,0,217.6
Wednesday,Sunny,478,538,No,Regular,25,3.49,0,41.4
Friday,Sunny,520,617,No,Corporate,28,3.89,0,59.5
Wednesday,Rainy,508,676,No,Banquet,30,4.04,1,258.0
Wednesday,Cloudy,556,726,Eid,Regular,31,4.2,0,145.8
Thursday,Sunny,114,147,No,Regular,9,3.47,0,27.7
Monday,Sunny,368,456,No,Buffet,22,4.29,0,107.1
Monday,Sunny,103,128,No,Regular,9,4.31,0,7.0
Friday,Sunny,594,658,No,Corporate,26,4.54,0,33.0
Friday,Sunny,131,178,No,Regular,12,3.45,0,33.3
Friday,Cloudy,385,469,No,Regular,18,3.99,0,61.3
Monday,Sunny,209,263,No,Buffet,16,4.11,0,62.6
Wednesday,Sunny,666,838,New Year,Banquet,32,4.2,0,225.7
Tuesday,Sunny,299,370,No,Regular,19,4.15,0,51.2
Saturday,Sunny,420,464,No,Corporate,20,3.89,0,30.7
Sunday,Stormy,754,967,Eid,Regular,40,4.16,0,342.8
Tuesday,Sunny,600,700,No,Regular,29,5.0,0,53.7
Friday,Sunny,457,577,No,Buffet,26,4.36,0,150.2
Monday,Cloudy,280,334,New Year,Regular,13,3.47,0,55.9
Tuesday,Rainy,287,374,No,Buffet,19,4.76,0,117.0
Monday,Rainy,466,565,No,Regular,26,4.82,0,154.1
Wednesday,Rainy,771,1034,No,Buffet,43,4.47,0,392.8
Friday,Rainy,499,609,Christmas,Regular,23,4.66,0,147.8
Sunday,Cloudy,428,518,No,Corporate,22,5.0,1,78.9
Tuesday,Stormy,903,1162,Diwali,Banquet,44,4.24,0,643.7
Thursday,Sunny,176,230,No,Regular,15,4.56,0,36.6
Friday,Rainy,135,183,No,Regular,9,4.76,1,44.6
Sunday,Rainy,204,266,Diwali,Banquet,14,3.8,0,97.6
Friday,Rainy,499,662,New Year,Regular,28,4.75,0,191.2
Tuesday,Sunny,527,598,No,Corporate,26,4.2,0,17.9
Friday,Rainy,291,352,No,Buffet,18,4.53,0,112.0
Wednesday,Sunny,437,506,No,Corporate,20,4.51,0,20.1
Sunday,Cloudy,700,813,No,Regular,32,3.84,0,107.1
Wednesday,Sunny,598,731,No,Regular,32,4.69,0,78.6
Friday,Cloudy,637,732,No,Regular,33,3.94,0,72.0
Monday,Cloudy,279,356,Christmas,Regular,17,4.24,0,75.6
Wednesday,Sunny,449,510,No,Regular,22,4.47,0,37.0
Sunday,Sunny,657,876,No,Banquet,36,4.36,0,245.2
Friday,Sunny,417,483,No,Regular,23,3.88,0,39.7
Thursday,Cloudy,476,604,No,Regular,24,3.58,0,98.7
Sunday,Cloudy,558,699,No,Regular,26,3.77,1,111.5
Saturday,Cloudy,647,781,No,Regular,34,4.42,1,129.8
Wednesday,Sunny,465,626,No,Buffet,26,4.35,0,134.4
Thursday,Rainy,447,565,No,Regular,27,4.04,0,148.1
Thursday,Cloudy,209,254,No,Corporate,14,4.02,1,37.6
Friday,Sunny,371,443,Eid,Corporate,21,3.99,0,62.6
Wednesday,Sunny,541,612,No,Regular,26,3.66,0,52.0
Tuesday,Sunny,462,553,No,Corporate,22,4.5,0,53.1
Sunday,Sunny,439,502,No,Regular,21,3.66,0,33.3
Sunday,Sunny,477,533,No,Regular,21,4.17,0,44.7
Saturday,Sunny,364,505,No,Banquet,21,4.65,0,133.9
Sunday,Sunny,314,362,No,Corporate,18,4.1,0,40.7
Saturday,Sunny,546,677,No,Regular,29,4.78,1,115.4
Saturday,Sunny,193,266,No,Buffet,16,3.67,0,76.2
Saturday,Rainy,93,143,New Year,Regular,7,3.56,1,69.5
Thursday,Cloudy,496,663,No,Buffet,25,3.15,1,219.5
Thursday,Sunny,580,759,No,Buffet,31,4.44,0,174.6
Tuesday,Cloudy,635,801,No,Regular,35,3.29,0,101.0
Friday,Cloudy,573,797,No,Banquet,30,4.79,0,250.0
Wednesday,Sunny,165,234,No,Buffet,13,4.85,0,63.7
Tuesday,Sunny,433,494,No,Regular,21,4.23,1,72.1
Friday,Sunny,266,310,No,Corporate,17,3.78,0,19.8
Wednesday,Cloudy,141,178,No,Corporate,13,3.34,0,27.5
Tuesday,Sunny,426,538,No,Regular,24,4.29,0,82.9
Saturday,Sunny,701,833,No,Buffet,33,4.11,0,138.3
Sunday,Cloudy,107,136,No,Corporate,7,4.22,0,23.4
Tuesday,Stormy,680,970,Diwali,Banquet,39,4.35,0,623.8
Monday,Sunny,399,498,No,Regular,19,3.66,0,59.4
Wednesday,Cloudy,595,765,No,Buffet,32,4.03,0,162.9
Saturday,Cloudy,470,518,No,Corporate,20,4.18,0,21.3
Saturday,Cloudy,570,798,No,Banquet,31,5.0,0,239.0
Monday,Cloudy,259,330,No,Regular,14,4.45,0,55.7
Saturday,Cloudy,635,773,No,Buffet,29,4.18,0,167.1
Monday,Sunny,163,194,Diwali,Corporate,8,3.69,0,22.0
Wednesday,Sunny,385,448,New Year,Regular,20,4.66,0,68.5
Sunday,Rainy,608,702,No,Regular,28,4.83,0,171.3
Tuesday,Sunny,242,313,No,Buffet,16,3.49,0,68.4
Tuesday,Stormy,139,193,No,Buffet,10,3.34,1,147.7
Thursday,Sunny,96,135,No,Buffet,10,4.15,1,38.4
Friday,Cloudy,469,544,No,Regular,25,4.04,0,40.9
Sunday,Sunny,333,399,No,Corporate,19,4.72,0,36.2
Sunday,Sunny,539,636,No,Regular,29,3.65,0,54.2
Monday,Rainy,485,547,No,Corporate,24,3.72,0,119.4
Monday,Sunny,634,797,No,Regular,33,3.48,0,96.5
Saturday,Cloudy,306,363,No,Regular,16,3.7,0,47.9
Tuesday,Cloudy,184,240,No,Banquet,13,4.19,0,72.1
Sunday,Rainy,544,636,No,Corporate,25,3.48,0,96.3
Friday,Cloudy,93,116,No,Regular,11,5.0,0,25.8
Monday,Stormy,437,567,Diwali,Regular,26,3.06,0,257.9
Saturday,Rainy,327,471,Eid,Buffet,20,3.89,0,174.8
Tuesday,Sunny,379,529,Eid,Banquet,25,4.22,0,153.0
Thursday,Rainy,138,172,Diwali,Regular,13,4.66,0,49.1
Thursday,Stormy,93,141,No,Banquet,10,3.69,0,62.8
Thursday,Sunny,179,228,No,Regular,11,3.34,1,63.9
Friday,Cloudy,458,610,No,Buffet,23,3.69,0,160.8
Friday,Sunny,286,360,No,Regular,14,4.89,0,38.7
Sunday,Cloudy,355,441,No,Regular,21,3.26,0,69.1
Sunday,Sunny,222,319,No,Banquet,13,4.56,0,85.9
Thursday,Cloudy,146,181,Christmas,Regular,11,4.24,1,58.4
Monday,Sunny,698,965,No,Banquet,38,4.29,0,270.8
Saturday,Cloudy,654,763,No,Regular,32,4.62,1,122.4
Sunday,Sunny,599,721,Eid,Regular,27,3.81,0,124.4
Wednesday,Cloudy,867,1216,No,Banquet,48,4.53,0,379.4
Thursday,Cloudy,588,776,No,Buffet,29,4.19,0,209.8
Thursday,Cloudy,136,172,No,Regular,10,3.57,0,25.8
Monday,Sunny,592,781,No,Buffet,31,4.08,0,172.2
Friday,Sunny,241,325,Diwali,Regular,16,4.1,0,49.7
Wednesday,Sunny,465,535,No,Corporate,21,3.09,0,45.1
Saturday,Stormy,523,631,No,Regular,25,3.71,0,214.8
Saturday,Sunny,809,1131,Diwali,Buffet,44,4.32,0,432.2
Saturday,Cloudy,747,913,No,Regular,37,4.18,0,152.5
Wednesday,Sunny,559,730,No,Buffet,29,4.56,1,201.3
Wednesday,Cloudy,850,1096,No,Banquet,43,4.66,0,252.5
Saturday,Sunny,413,467,No,Corporate,21,3.74,0,14.8
Saturday,Sunny,734,890,No,Regular,35,3.81,0,90.8
Thursday,Sunny,118,163,New Year,Regular,7,3.46,0,33.1
Sunday,Sunny,389,441,No,Regular,18,4.33,0,42.9
Tuesday,Sunny,457,531,No,Corporate,22,3.89,0,36.5
Sunday,Sunny,772,924,No,Regular,38,4.61,0,82.7
Monday,Cloudy,684,812,No,Buffet,31,4.56,0,188.2
Tuesday,Stormy,277,357,No,Regular,16,4.33,0,151.3
Thursday,Sunny,602,781,No,Banquet,31,3.93,0,206.2
Monday,Rainy,139,204,No,Buffet,10,4.58,0,70.1
Monday,Sunny,160,200,No,Buffet,13,4.12,0,46.0
Monday,Sunny,664,807,No,Banquet,34,4.22,0,182.2
Thursday,Sunny,346,451,No,Banquet,21,3.31,0,129.8
Saturday,Sunny,564,700,Diwali,Buffet,30,4.28,0,195.9
Monday,Sunny,167,220,Eid,Corporate,12,4.14,0,29.7
Friday,Rainy,769,980,No,Buffet,40,4.07,0,370.4
Saturday,Cloudy,140,191,Eid,Regular,12,3.87,0,42.2
Tuesday,Cloudy,426,506,No,Regular,23,3.47,0,61.2
Tuesday,Cloudy,551,686,Eid,Buffet,31,4.09,0,203.3
Sunday,Sunny,787,974,No,Buffet,39,3.21,0,217.0
Saturday,Cloudy,259,339,No,Regular,16,4.02,0,39.8
Thursday,Sunny,265,329,No,Regular,13,3.88,0,31.9
Saturday,Sunny,564,707,No,Buffet,28,4.67,0,148.5
Monday,Sunny,233,286,No,Regular,13,4.91,1,48.9
Wednesday,Sunny,592,752,No,Buffet,31,3.48,0,181.6
Saturday,Cloudy,733,918,No,Buffet,38,4.45,0,183.8
Tuesday,Sunny,504,618,No,Regular,27,3.84,0,90.2
Saturday,Sunny,429,492,New Year,Regular,23,3.92,1,113.9
Thursday,Rainy,429,526,No,Regular,25,3.91,0,111.5
Saturday,Stormy,206,254,No,Regular,11,4.66,0,67.5
Thursday,Cloudy,217,293,No,Buffet,15,4.07,0,83.0
Wednesday,Cloudy,255,302,No,Corporate,16,4.3,0,29.5
Tuesday,Rainy,168,198,No,Corporate,14,3.42,0,49.7
Tuesday,Sunny,530,638,No,Regular,25,3.64,0,66.5
Saturday,Sunny,313,406,No,Buffet,20,3.89,0,114.0
Monday,Sunny,601,684,No,Regular,31,4.12,0,37.4
Monday,Sunny,274,316,No,Corporate,15,4.4,0,26.8
Tuesday,Stormy,506,601,No,Regular,25,3.87,0,168.7
Tuesday,Rainy,132,202,Diwali,Buffet,10,4.71,0,83.4
Saturday,Stormy,701,856,Diwali,Buffet,33,4.0,0,497.5
Wednesday,Cloudy,331,417,No,Regular,19,3.83,0,65.7
Sunday,Cloudy,910,1271,No,Banquet,48,4.48,1,381.9
Monday,Rainy,171,218,Christmas,Regular,14,4.42,0,56.0
Friday,Cloudy,221,255,No,Regular,15,3.36,0,24.2
Thursday,Sunny,679,915,No,Buffet,36,4.78,0,274.4
Wednesday,Sunny,482,586,No,Buffet,26,3.89,0,99.0
Sunday,Cloudy,474,591,No,Regular,25,4.03,0,85.2
Sunday,Sunny,497,608,Diwali,Regular,26,3.75,0,109.4
Sunday,Cloudy,331,407,Diwali,Regular,18,3.94,1,104.5
Tuesday,Sunny,553,646,No,Corporate,30,3.4,0,67.1
Tuesday,Cloudy,465,578,No,Buffet,23,4.24,0,134.9
Friday,Sunny,91,125,Diwali,Regular,7,3.85,1,29.8
Wednesday,Sunny,232,295,No,Regular,16,3.98,0,39.9
Saturday,Cloudy,950,1237,No,Banquet,48,4.53,0,342.3
Thursday,Sunny,313,361,No,Corporate,15,4.31,0,22.5
Thursday,Stormy,486,653,Diwali,Regular,27,4.11,0,320.0
Saturday,Sunny,112,166,No,Buffet,10,4.94,0,56.2
Friday,Sunny,95,122,No,Regular,9,3.62,0,10.4
Monday,Sunny,184,226,No,Regular,15,4.14,0,25.3
Monday,Rainy,330,382,No,Corporate,15,4.65,0,60.0
Friday,Cloudy,456,531,No,Corporate,21,4.75,0,48.0
Thursday,Sunny,106,153,Diwali,Regular,12,3.49,0,48.3
Tuesday,Sunny,538,651,Christmas,Corporate,29,3.8,1,127.6
Wednesday,Cloudy,499,677,No,Buffet,31,4.59,0,187.4
Saturday,Stormy,294,349,No,Corporate,15,3.92,0,81.7
Saturday,Sunny,357,458,New Year,Corporate,23,4.14,0,89.0
Thursday,Sunny,431,525,No,Buffet,22,3.91,0,104.4
Wednesday,Sunny,720,956,No,Banquet,40,4.11,0,295.0
Tuesday,Sunny,120,160,No,Regular,9,2.66,0,36.5
Thursday,Cloudy,482,587,No,Buffet,26,3.95,0,111.6
Wednesday,Stormy,369,465,No,Regular,23,4.09,0,176.5
Thursday,Stormy,469,542,No,Corporate,21,3.93,0,165.6
Friday,Rainy,332,370,No,Regular,20,4.17,0,58.2
Monday,Sunny,279,347,No,Regular,16,3.56,0,55.5
Monday,Stormy,481,541,No,Corporate,24,4.23,1,190.7
Tuesday,Sunny,562,678,No,Regular,26,4.81,1,109.4
Sunday,Sunny,658,773,No,Regular,29,4.66,0,88.5
Friday,Cloudy,688,775,No,Regular,34,4.42,0,66.6
Tuesday,Sunny,150,219,Diwali,Buffet,14,4.23,0,79.0
Sunday,Rainy,539,611,New Year,Regular,26,3.82,0,166.1
Thursday,Stormy,465,545,No,Regular,24,3.91,1,198.9
Thursday,Rainy,262,365,No,Buffet,15,4.48,1,135.6
Sunday,Rainy,557,751,Eid,Banquet,32,4.06,0,252.3
Monday,Sunny,576,652,No,Corporate,28,5.0,0,31.4
Tuesday,Sunny,146,187,Eid,Regular,13,3.39,0,35.7
Friday,Rainy,588,672,No,Corporate,29,4.03,1,113.1
Tuesday,Cloudy,225,261,No,Corporate,16,3.88,1,19.6
Friday,Rainy,610,673,No,Corporate,31,4.45,0,72.4
Tuesday,Sunny,451,610,No,Buffet,28,4.54,0,157.4
Monday,Sunny,73,89,No,Regular,8,3.58,0,12.6
Tuesday,Sunny,155,219,No,Buffet,14,3.56,0,66.2
Thursday,Cloudy,653,828,No,Buffet,35,3.8,0,199.4
Tuesday,Rainy,524,615,No,Regular,23,4.35,1,149.5
Monday,Stormy,192,257,Christmas,Regular,15,4.3,0,102.6
Sunday,Sunny,530,628,Eid,Regular,27,3.43,0,82.0
Wednesday,Cloudy,433,529,No,Buffet,24,4.24,0,128.8
Wednesday,Sunny,97,129,No,Regular,9,4.19,0,27.3
Monday,Sunny,569,731,No,Buffet,28,4.1,0,187.9
Wednesday,Sunny,143,171,No,Corporate,11,4.37,0,8.8
Tuesday,Cloudy,304,369,Diwali,Regular,17,4.22,0,66.8
Friday,Sunny,85,108,No,Regular,9,4.15,0,6.9
Tuesday,Sunny,207,258,Christmas,Regular,15,4.61,1,42.0
Sunday,Cloudy,737,876,No,Regular,38,4.76,0,103.8
Sunday,Rainy,388,489,New Year,Corporate,24,3.95,1,174.6
Monday,Sunny,583,713,New Year,Buffet,32,4.09,0,157.0
Monday,Sunny,215,249,No,Corporate,10,4.4,0,8.7
Monday,Cloudy,128,171,Eid,Banquet,11,4.04,0,59.4
Friday,Rainy,512,633,No,Regular,24,4.41,0,148.7
Monday,Rainy,246,344,No,Buffet,15,4.17,0,135.1
Saturday,Sunny,188,243,No,Buffet,15,4.45,1,73.4
Saturday,Cloudy,512,610,No,Buffet,27,4.4,0,104.7
Saturday,Rainy,367,466,No,Regular,19,4.08,0,121.9
Thursday,Sunny,133,167,No,Regular,11,4.5,0,19.8
Sunday,Sunny,593,781,No,Buffet,32,4.42,0,223.3
Monday,Stormy,389,524,No,Buffet,24,5.0,1,284.8
Wednesday,Sunny,640,776,No,Regular,34,3.35,0,104.4
Wednesday,Cloudy,118,150,No,Regular,9,4.4,0,27.2
Sunday,Rainy,513,643,Christmas,Buffet,28,4.56,0,237.6
Friday,Sunny,763,1048,No,Buffet,42,5.0,0,243.7
Saturday,Cloudy,454,607,No,Buffet,23,3.9,0,179.2
Tuesday,Sunny,187,234,New Year,Regular,14,4.17,0,38.7
Sunday,Rainy,774,976,No,Regular,41,3.93,0,247.0
Thursday,Rainy,229,270,No,Corporate,16,4.87,0,67.3
Thursday,Rainy,542,606,No,Corporate,24,3.8,0,81.5
Sunday,Sunny,669,839,New Year,Regular,36,3.91,1,145.6
Wednesday,Rainy,547,755,No,Buffet,32,3.51,0,273.0
Wednesday,Rainy,514,588,No,Regular,24,2.95,0,115.2
Friday,Cloudy,555,663,No,Buffet,25,4.12,0,164.8
Monday,Cloudy,454,526,No,Regular,25,4.08,0,54.5
Wednesday,Sunny,268,345,No,Buffet,15,4.02,0,74.2
Tuesday,Rainy,138,190,Diwali,Banquet,8,4.38,0,88.1
Monday,Sunny,428,512,Eid,Regular,20,4.44,1,92.7
Sunday,Sunny,643,787,Christmas,Regular,35,3.83,0,127.7
Friday,Rainy,665,764,No,Regular,32,4.15,0,154.6
Wednesday,Stormy,507,604,No,Regular,25,4.07,0,245.5
Wednesday,Stormy,888,1112,Christmas,Banquet,44,4.12,0,584.3
Thursday,Sunny,575,804,No,Banquet,31,4.75,0,275.8
Friday,Sunny,200,264,No,Regular,15,4.29,0,31.4
Sunday,Cloudy,314,425,No,Banquet,17,4.56,0,122.5
Sunday,Sunny,273,326,No,Regular,14,4.03,0,32.7
Wednesday,Rainy,758,1017,No,Buffet,39,3.64,0,360.7
Wednesday,Cloudy,694,868,Diwali,Buffet,38,4.57,0,297.3
Thursday,Sunny,486,583,No,Regular,25,4.43,0,73.7
Thursday,Sunny,678,863,Diwali,Buffet,32,3.92,0,242.1
Thursday,Sunny,317,401,No,Buffet,17,4.04,0,97.9
Friday,Rainy,583,732,Christmas,Regular,29,4.35,0,195.1
Thursday,Cloudy,227,311,No,Banquet,17,4.27,0,92.2
Wednesday,Sunny,126,149,No,Regular,7,4.07,0,22.0
Wednesday,Sunny,438,510,No,Regular,25,3.66,0,60.1
Wednesday,Sunny,665,886,No,Banquet,35,4.92,0,203.7
Monday,Sunny,411,494,No,Regular,21,4.12,0,58.1
Tuesday,Stormy,338,385,No,Regular,20,4.6,0,141.8
Saturday,Cloudy,505,558,No,Regular,21,3.09,0,56.3
Wednesday,Sunny,281,351,No,Regular,15,3.6,0,51.3
Tuesday,Rainy,237,296,No,Regular,15,4.58,1,75.9
Thursday,Sunny,211,249,No,Regular,11,4.04,0,21.4
Saturday,Sunny,403,495,No,Buffet,22,4.56,0,121.0
Tuesday,Cloudy,250,312,No,Regular,14,3.87,1,55.3
Saturday,Sunny,172,214,No,Corporate,10,4.06,0,19.7
Sunday,Sunny,638,825,No,Banquet,35,3.8,0,219.4
Friday,Rainy,368,456,No,Regular,23,4.53,0,118.4
Friday,Rainy,270,342,No,Banquet,17,3.98,0,113.2
Monday,Sunny,533,592,No,Corporate,27,4.47,1,59.6
Sunday,Cloudy,612,775,New Year,Banquet,31,4.75,1,284.5
Wednesday,Sunny,178,230,Christmas,Buffet,14,4.04,0,51.4
Sunday,Cloudy,114,155,No,Regular,9,4.08,0,36.6
Friday,Sunny,140,182,No,Regular,10,3.9,0,28.7
Monday,Cloudy,426,509,No,Banquet,24,4.95,0,110.4
Monday,Sunny,247,338,No,Buffet,18,4.07,0,96.4
Friday,Stormy,678,746,No,Corporate,33,4.02,0,167.5
Thursday,Rainy,406,552,No,Buffet,21,3.65,1,240.5
Monday,Sunny,494,545,No,Regular,23,3.89,1,48.4
Saturday,Rainy,252,322,Christmas,Regular,15,3.93,0,82.3
Saturday,Sunny,179,221,No,Banquet,10,4.58,0,59.3
Thursday,Cloudy,260,331,No,Regular,15,3.99,1,63.7
Thursday,Sunny,557,715,Eid,Buffet,29,3.97,0,222.6
Monday,Sunny,713,949,No,Banquet,39,4.44,0,252.7
